tienda_id,ventas_dia,clientes,descuento
912,942,411,136.6
108,493,877,651.64
735,700,52,738.6
277,286,407,315.63
67,719,846,644.83
68,113,21,395.13
164,479,29,713.21
488,21,702,199.22
304,348,259,890.22
908,725,204,287.41
673,682,58,367.79
364,834,470,58.09
853,565,775,111.51
820,905,465,515.86
378,809,11,267.59
342,319,630,835.48
946,125,926,14.69
898,276,973,379.09
553,975,289,337.35
353,203,849,19.33
415,193,759,124.37
108,680,353,413.64
562,663,638,492.86
761,546,74,404.29
496,695,872,530.94
340,285,715,595.13
941,56,560,9.92
382,733,590,464.1
532,302,440,963.5
299,162,990,519.03
138,18,240,677.54
358,369,860,311.86
835,263,153,773.99
498,793,785,772.92
384,112,95,521.3
603,487,725,976.01
958,326,293,125.55
279,541,208,16.95
636,646,342,770.16
482,578,87,807.16
908,64,817,120.21
110,291,775,265.58
865,24,936,17.55
138,548,389,293.31
995,0,324,773.14
434,910,939,517.96
508,548,888,348.1
272,140,831,371.74
98,743,156,1.35
763,647,667,299.8
849,900,650,646.46
103,187,632,974.19
213,127,576,847.06
760,200,618,23.59
663,126,658,898.56
761,256,136,783.2
786,675,922,780.38
164,546,673,458.0
998,193,427,398.01
852,702,451,302.92
519,103,611,65.69
283,534,849,228.24
516,264,910,246.6
656,801,818,484.08
612,941,140,747.44
163,973,82,473.81
885,383,176,57.84
658,259,197,957.79
63,413,623,942.72
90,990,567,785.19
116,357,971,991.33
865,74,690,544.48
266,354,420,962.77
821,583,400,75.61
684,770,697,365.68
558,909,470,225.38
139,187,217,195.83
245,972,924,140.8
660,684,928,622.41
757,991,827,781.32
394,289,986,578.3
486,44,728,146.96
475,572,631,811.12
516,82,950,635.95
976,122,905,388.17
183,357,174,674.13
19,527,22,259.9
936,65,724,345.19
557,935,916,917.49
523,656,234,290.5
581,374,12,469.99
528,161,100,890.14
882,745,928,707.72
146,379,535,62.2
665,655,875,147.3
303,357,522,7.84
619,187,784,630.92
747,321,451,447.67
819,449,430,134.27
863,473,792,957.93
581,12,605,529.66
694,183,712,241.89
761,110,532,500.6
227,926,851,679.62
101,507,978,76.24
586,289,722,274.7
416,294,651,806.97
957,450,292,459.66
215,903,809,546.58
406,214,912,432.82
398,973,100,43.9
922,631,501,165.75
714,893,303,445.54
703,566,870,209.19
760,26,539,49.98
498,629,552,843.65
753,732,354,981.19
464,230,302,793.14
690,564,495,853.78
948,806,657,241.98
973,320,767,960.63
730,912,973,196.93
81,232,226,951.43
603,669,235,994.82
946,436,872,711.72
686,780,891,981.14
750,532,454,569.54
771,402,12,259.54
902,52,209,437.0
364,786,740,593.56
162,312,396,73.08
47,280,99,622.34
510,725,30,981.18
328,30,897,190.11
839,336,527,792.6
115,182,648,907.9
940,22,328,943.7
848,543,165,960.14
336,445,458,521.46
880,73,821,977.31
736,9,951,757.31
863,483,981,161.67
839,455,992,476.9
146,565,99,718.33
574,563,620,247.34
805,659,854,640.62
322,159,172,666.6
442,881,748,162.7
836,13,161,565.09
12,177,904,771.63
